0,0.4,0.8,1.2,1.6,2
1.91E-01,1.77E-01,1.58E-01,1.04E-01,2.28E-02,6.05E-04
1.00E+00,1.00E+00,9.93E-01,7.66E-01,1.99E-01,6.26E-03
1000,1000,1000,1000,10000,100000
