0,0.4,0.8,1,1.2,1.6,2
1.36E-01,1.02E-01,3.90E-02,1.31E-02,2.84E-03,4.91E-05,4.17E-07
9.99E-01,9.04E-01,4.07E-01,1.53E-01,3.57E-02,7.36E-04,1.20E-05
5.00E+01,4.70E+01,2.93E+01,1.78E+01,1.06E+01,5.81E+00,4.16E+00
,,,,,1.3,
,,,,,1.59E-03,
,,,,,2.05E-02,
,,,,,8.94E+00,
